扩展名,用途,变种,出处
.pm,Perl module,Perl 5 module;package,https://en.wikipedia.org/wiki/Perl_module
.pmd,Professional Music Driver PC-98,PMD,https://en.wikipedia.org/wiki/Professional_Music_Driver
.png,Portable Network Graphics lossless raster image with optional alpha transparency,PNG-8/PNG-24/PNG-32;interlaced (Adam7) vs non-interlaced;APNG animated PNG;truecolor/grayscale/indexed-color,https://en.wikipedia.org/wiki/Portable_Network_Graphics
.pnm,Portable aNy Map auto-detect wrapper for PPM/PGM/PBM,PBM/PGM/PPM auto-detect;NetPBM family;ASCII/binary;8/16-bit,https://en.wikipedia.org/wiki/Netpbm
.pnpm-lock.yaml,pnpm 锁定依赖 YAML,pnpm-lock.yaml,https://pnpm.io/package_json
.po,GNU gettext 可移植对象,po,https://en.wikipedia.org/wiki/Gettext
.pol,Windows 注册表策略,pol,https://en.wikipedia.org/wiki/Group_Policy
.pom.xml,Maven 项目对象模型,pom.xml,https://maven.apache.org/pom.html
.postgres,PostgreSQL 数据库集群目录,PGDATA,https://en.wikipedia.org/wiki/PostgreSQL
.postgresql,PostgreSQL 数据目录标识,PGDATA,https://en.wikipedia.org/wiki/PostgreSQL
.pot,PowerPoint 97-2003 template,CFB OLE;PowerPoint template,https://en.wikipedia.org/wiki/Microsoft_PowerPoint
.pot,GNU gettext 模板 / Hashcat 恢复出的明文,pot,https://en.wikipedia.org/wiki/Gettext
.potm,PowerPoint 2007+ macro-enabled template,OOXML zip+XML+VBA,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.potx,PowerPoint 2007+ Open XML template,OOXML zip+XML,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.ppj,Premiere 6.5 项目,PPJ,https://en.wikipedia.org/wiki/Adobe_Premiere_Pro
.ppm,Portable PixMap NetPBM truecolor raster,PPM P3 (ASCII) / P6 (binary);8/16-bit per channel;RGB;NetPBM tools,https://en.wikipedia.org/wiki/Netpbm
.pps,PowerPoint 97-2003 slideshow,CFB OLE;auto-play presentation,https://en.wikipedia.org/wiki/Microsoft_PowerPoint
.ppsm,PowerPoint 2007+ macro-enabled slideshow,OOXML zip+XML+VBA,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.ppsx,PowerPoint 2007+ Open XML slideshow,OOXML zip+XML;auto-play,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.ppt,PowerPoint 97-2003 binary presentation,PPT CFB;PowerPoint 97-2003;VBA;OLE,https://en.wikipedia.org/wiki/Microsoft_PowerPoint
.pptm,PowerPoint 2007+ macro-enabled,OOXML zip+XML+VBA,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.pptx,PowerPoint 2007+ Open XML presentation,OOXML zip+XML;ECMA-376;transitional/strict,https://en.wikipedia.org/wiki/Microsoft_PowerPoint
.pptx,Office Open XML PowerPoint,PPTX,https://en.wikipedia.org/wiki/Office_Open_XML
.prefs,Eclipse 工作区/项目偏好,.prefs,https://en.wikipedia.org/wiki/Eclipse_(software)
.prettierrc,Prettier 配置,".prettierrc, .prettierrc.json",https://prettier.io/docs/en/configuration.html
.prettierrc.js,Prettier JS 配置,.prettierrc.js,https://prettier.io/docs/en/configuration.html
.prg,Commodore 可执行程序文件,"PRG, USR",https://en.wikipedia.org/wiki/.prg
.prn,Printer spool/HP-GL/2 plotter file,HP-GL/2 or generic;plotter;printed;ASCII,https://en.wikipedia.org/wiki/HP-GL
.profile,Shell 登录 profile,profile,https://man.openbsd.org/profile
.project,Eclipse CDT/其他 IDE 项目文件,"project, cproject",https://en.wikipedia.org/wiki/Eclipse_(software)
.properties,Java properties file,key=value;ISO-8859-1;Java resource bundle,https://en.wikipedia.org/wiki/.properties
.proto,Protocol Buffers schema,protobuf 2/3;Google,https://en.wikipedia.org/wiki/Protocol_Buffers
.prproj,Premiere Pro 项目,PRPROJ,https://en.wikipedia.org/wiki/Adobe_Premiere_Pro
.prt,NX/Siemens 或 Creo 零件,prt,https://en.wikipedia.org/wiki/Siemens_NX
.prx,PS3 游戏代理/PRX,PRX,https://en.wikipedia.org/wiki/PlayStation_3_system_software
.ps,PostScript page description language,PostScript Level 1/2/3;EPS subset;Adobe/Canon/HP printer language,https://en.wikipedia.org/wiki/PostScript
.ps1,PowerShell script,Windows PowerShell 5.1;PowerShell 7;cross-platform,https://en.wikipedia.org/wiki/PowerShell
.psb,Adobe Photoshop Big large-document version of PSD,PSB 300000+ pixel support;layers;4GB+;Photoshop CS+,https://en.wikipedia.org/wiki/Adobe_Photoshop#File_format
.psc1,PowerShell 脚本,PSC1,https://en.wikipedia.org/wiki/PowerShell
.psd,Adobe Photoshop Document layered raster,PSD v1-v3;layers/channels/paths;8/16/32-bit;RGB/CMYK/Lab/duotone;PSB (large) variant,https://en.wikipedia.org/wiki/Adobe_Photoshop#File_format
.psd1,PowerShell data file (manifest),PowerShell manifest;@{} data,https://en.wikipedia.org/wiki/PowerShell
.psf,PC Screen Font,PSF/PSFU,https://en.wikipedia.org/wiki/PC_Screen_Font
.psfu,PC Screen Font Unicode,PSFU,https://en.wikipedia.org/wiki/PC_Screen_Font
.psm1,PowerShell module,PowerShell 5/7;export-module,https://en.wikipedia.org/wiki/PowerShell
.pst,"Microsoft Outlook 个人文件夹, 邮件/日历/联系人存储",pst 97/2002/2003/2007/2010/2013/2016/2019,https://en.wikipedia.org/wiki/Personal_Storage_Table
.psv,Pipe-Separated Values,Bar-separated;PostgreSQL;pipe-delimited text,https://en.wikipedia.org/wiki/Delimiter-separated_values
.psv1,PowerShell v1 script,Old PowerShell format,https://en.wikipedia.org/wiki/PowerShell
.pub,SSH 公钥或 OpenSSH authorized_keys 行,"pub, ssh-rsa, ssh-ed25519",https://en.wikipedia.org/wiki/Ssh-keygen
.pva,PVA (MPEG-2 PES Audio Video),PVA,https://en.wikipedia.org/wiki/MPEG_program_stream
.pvm,Parallels 虚拟机包(整个 VM 目录),pvm,https://en.wikipedia.org/wiki/Parallels_Desktop
.pvr,PowerVR 视频,PVR,https://en.wikipedia.org/wiki/Imagination_Technologies
.pvr,PowerVR Texture,PVR/PVRTC,https://en.wikipedia.org/wiki/PVRTC
.pvr.ccz,PVR 压缩纹理 CCZ,PVR.CCZ,https://en.wikipedia.org/wiki/PVRTC
.pvs,Parallels VM 启动脚本,pvs,https://en.wikipedia.org/wiki/Parallels_Desktop
.pxp,Igor Pro packed experiment,pxp v1-v6,https://en.wikipedia.org/wiki/Igor_Pro
.py,Python source code,Python 2.7/3.x;.py;PEP 8 style,https://en.wikipedia.org/wiki/Python_(programming_language)
.py,Python 脚本 / Metasploit 模块,"py, python",https://www.python.org/
.py3,Python 3 source (rare),Python 3;rare,https://en.wikipedia.org/wiki/Python_(programming_language)
.pyc,Python compiled bytecode,Python .pyc;PEP 552;magic numbers;zlib,https://en.wikipedia.org/wiki/Python_(programming_language)
.pyd,Python Windows DLL module,Python .pyd;Win32 DLL;ctypes,https://en.wikipedia.org/wiki/Python_(programming_language)
.pyo,Python optimized bytecode (deprecated),Python 2.x optimized;removed in 3.5,https://en.wikipedia.org/wiki/Python_(programming_language)
.pyproject.toml,Python PEP 621 项目元数据,"PEP 621, PEP 517",https://peps.python.org/pep-0621/
.pyw,Python Windows GUI script,Python;pythonw.exe;no console,https://en.wikipedia.org/wiki/Python_(programming_language)
.qcow,QEMU Copy-On-Write 镜像 v1,qcow v1,https://en.wikipedia.org/wiki/Qcow
.qcow2,"QEMU Copy-On-Write 镜像 v2, 支持快照/加密",qcow2 v2/v3,https://en.wikipedia.org/wiki/Qcow
.qdrant,Qdrant 向量数据库,qdrant,https://qdrant.tech/documentation/
.qed,QEMU Enhanced Disk 格式,qed,https://en.wikipedia.org/wiki/QEMU
.qm,Qt Linguist 编译二进制翻译,qm,https://doc.qt.io/qt-6/linguist-translators.html
.qmd,Quarto Markdown document,Quarto 1.x;multi-language;pandoc,https://en.wikipedia.org/wiki/Quarto_(software)
.qml,Qt Modeling Language,qml,https://en.wikipedia.org/wiki/QML
.qoi,QOI (Quite OK Image Format) simple lossless raster,QOI v1;RGBA;uncompressed-ish;fast decode,https://en.wikipedia.org/wiki/QOI
.qrc,Qt Resource Collection,qrc,https://doc.qt.io/qt-6/resources.html
.r,R language source code,R 3.x/4.x;.R;CRAN,https://en.wikipedia.org/wiki/R_(programming_language)
.r00,RAR 多卷第 1 卷,R00-R99,https://en.wikipedia.org/wiki/RAR_(file_format)
.r01,RAR 多卷第 2 卷,R01-R99,https://en.wikipedia.org/wiki/RAR_(file_format)
.ra,RealAudio 流式有损,RealAudio 1/2/3,https://en.wikipedia.org/wiki/RealAudio
.raf,Fuji RAW (RAF),RAF Fuji;12/14/16-bit;Fuji X-Trans/EXR sensors;compressed,https://en.wikipedia.org/wiki/Raw_image_format
.ram,RealAudio Metafile 播放列表,RAM/RM/RMX,https://en.wikipedia.org/wiki/RealAudio
.rap,Radare2 项目,rap,https://rada.re/n/
.rar,RAR 归档 (Roshal),RAR/RAR5,https://en.wikipedia.org/wiki/RAR_(file_format)
.rar5,RAR5 归档版本,RAR5,https://en.wikipedia.org/wiki/RAR_(file_format)
.raw,Generic raw image (varies by camera),Camera-specific binary;Bayer mosaic;no standard container,https://en.wikipedia.org/wiki/Raw_image_format
.raw,无头原始 PCM 音频,任意采样率/位深,https://en.wikipedia.org/wiki/Raw_audio_format
.rax,Real Audio XML 播放列表,RAX,https://en.wikipedia.org/wiki/RealAudio
.rb,RB Rocket e-book (Kindle-compatible),RBS (.rb);PALM DOC;Rocket eBook,https://en.wikipedia.org/wiki/Rocket_eBook
.rb,Ruby source code,Ruby 1.8-3.x;YARV,https://en.wikipedia.org/wiki/Ruby_(programming_language)
.rb,Ruby 脚本 / Metasploit 模块,"rb, ruby",https://www.ruby-lang.org/
.rbc,Ruby 编译字节码,RBC,https://en.wikipedia.org/wiki/Ruby_(programming_language)
.rc,Recycle Bin 内部 rc(原始文件存储)或 Carbon/R/Cipher 配置 / Metasploit 资源脚本,"batch, rc",https://www.fileinfo.com/extension/rc
.rcc,Qt Resource Compiler 二进制,rcc,https://doc.qt.io/qt-6/resources.html
.rcfile,"Record Columnar File, Hive 列式格式",RCFile,https://cwiki.apache.org/confluence/display/Hive/RCFile
.rda,R RData 文件(serialized R objects),"rda, RData",https://cran.r-project.org/doc/manuals/r-release/R-ints.html#Serialization-Formats
.rdata,R 工作区数据(常见扩展),"rdata, RData",https://cran.r-project.org/doc/manuals/r-release/R-ints.html#Serialization-Formats
.rdb,Redis 数据库快照文件,RDB v1-v11,https://en.wikipedia.org/wiki/Redis
.rdl,SQL Server Reporting Services 报表定义语言,RDL 2003/2010,https://learn.microsoft.com/en-us/sql/reporting-services/reports/report-definition-language-ssrs
.rdlc,RDL 客户端定义,RDLC,https://learn.microsoft.com/en-us/sql/reporting-services/reports/report-definition-language-ssrs
.rdr2,Red Dead Redemption 2 资源,RDR2,https://en.wikipedia.org/wiki/Red_Dead_Redemption_2
.rds,R 单对象序列化,rds,https://cran.r-project.org/doc/manuals/r-release/R-ints.html#Serialization-Formats
.rdx,R 压缩序列化(serialize),rdx,https://cran.r-project.org/doc/manuals/r-release/R-ints.html#Serialization-Formats
.rec,Topfield/录播文件,REC,https://en.wikipedia.org/wiki/Digital_video_recorder
.rec,John the Ripper 恢复状态,"rec, john.rec",https://www.openwall.com/john/
.refs,"Resilient File System, Windows Server 2012+",ReFS v1/v3,https://en.wikipedia.org/wiki/ReFS
.reg,Windows 注册表导出,reg,https://en.wikipedia.org/wiki/Windows_Registry
.reiser4,"Reiser 文件系统 v4, 插件化",reiser4,https://en.wikipedia.org/wiki/Reiser4
.reiserfs,"Reiser 文件系统 v3, 平衡树",reiserfs v3.6,https://en.wikipedia.org/wiki/ReiserFS
.rels,OOXML relationships file,OOXML relationships;part links,https://en.wikipedia.org/wiki/Microsoft_Office_Open_XML
.rep.gz,Ghidra repository 存档,rep.gz,https://ghidra-sre.org/
.requirements.txt,Python pip 依赖列表,requirements.txt,https://pip.pypa.io/en/stable/reference/requirements-file-format/
.res,Visual Studio 资源,RES,https://en.wikipedia.org/wiki/Resource_(Windows)
.resources,Unity Resources 目录,RESOURCES,https://en.wikipedia.org/wiki/Unity_(game_engine)
.resources,.NET 资源 (.resources),resources,https://docs.microsoft.com/dotnet/framework/resources/
.rev,WinRAR 恢复卷,REV,https://en.wikipedia.org/wiki/RAR_(file_format)
.rfa,Revit 族文件,rfa,https://en.wikipedia.org/wiki/Autodesk_Revit
.rft,Revit 族模板,rft,https://en.wikipedia.org/wiki/Autodesk_Revit
.rgbe,RGBE radiance scene file,RGBE;Radiance;lossless 32-bit/pixel;ASCII or binary,https://en.wikipedia.org/wiki/Radiance_HDR
.rhistory,R 命令历史,"rhistory, Rhistory",https://cran.r-project.org/
.riak,Riak KV 键值数据库,LevelDB/S2,https://en.wikipedia.org/wiki/Riak
.ris,RIS bibliography format,RIS;EndNote/RefMan/ProCite,https://en.wikipedia.org/wiki/RIS_(file_format)
.rle,Run-Length Encoded bitmap (BMP RLE variant),RLE8/RLE4 compression;1-bit to 8-bit color;used in Windows 3.x/95,https://en.wikipedia.org/wiki/BMP_file_format
.rlib,Rust static library,Rust compiler;rlib;crate linkage,https://en.wikipedia.org/wiki/Rust_(programming_language)
.rm,RealMedia 容器 (音频/视频),RealAudio + RealVideo,https://en.wikipedia.org/wiki/RealMedia
.rmd,R Markdown document,R Markdown;knitr;pandoc,https://en.wikipedia.org/wiki/R_(programming_language)
.rmd,R Markdown variant,Same as .Rmd,https://en.wikipedia.org/wiki/R_Markdown
.rmi,Windows RIFF MIDI 容器,RIFF MIDI,https://en.wikipedia.org/wiki/MIDI
.rmvb,RealMedia Variable Bitrate,RMVB,https://en.wikipedia.org/wiki/RealVideo
.rocksdb,"Facebook RocksDB 键值存储, LSM 树","sst, log, manifest",https://en.wikipedia.org/wiki/RocksDB
.rom,只读存储器镜像,ROM,https://en.wikipedia.org/wiki/Read-only_memory
.root,CERN ROOT 二进制数据,"root, Cern ROOT",https://en.wikipedia.org/wiki/ROOT
.roq,Id Software RoQ 视频,ROQ,https://en.wikipedia.org/wiki/RoQ
.rpf,Rockstar Package File,RPF,https://en.wikipedia.org/wiki/Rockstar_Advanced_Game_Engine
.rpm,Red Hat Package Manager,RPM/SRPM,https://en.wikipedia.org/wiki/RPM_Package_Manager
.rprofile,R 启动配置文件,"Rprofile.site, .Rprofile",https://cran.r-project.org/
.rpt,Crystal Reports 或 SSRS 报表定义,rpt,https://en.wikipedia.org/wiki/Crystal_Reports
.rs,Rust source code,Rust 2015/2018/2021/2024;cargo package,https://en.wikipedia.org/wiki/Rust_(programming_language)
.rss,RSS syndication feed,RSS 0.91/2.0/2.0.1/Atom-like,https://en.wikipedia.org/wiki/RSS
.rst,reStructuredText documentation markup,reST/Sphinx;directives;RST;Python community,https://en.wikipedia.org/wiki/ReStructuredText
.rt,RealText 流式字幕,RT,https://en.wikipedia.org/wiki/RealText
.rte,Revit 模板项目,rte,https://en.wikipedia.org/wiki/Autodesk_Revit
.rtf,Rich Text Format word processor document,RTF 1.0-1.9.1;control words/groups;embedded objects;charset,https://en.wikipedia.org/wiki/Rich_Text_Format
.rtmp,Real-Time Messaging Protocol,RTMP/RTMPE,https://en.wikipedia.org/wiki/Real-Time_Messaging_Protocol
.rtsp,Real-Time Streaming Protocol,RTSP,https://en.wikipedia.org/wiki/Real_Time_Streaming_Protocol
.rules,auditd 规则文件,rules,https://linux.die.net/man/8/auditctl
.rv,RealVideo 容器,RV/RMVB,https://en.wikipedia.org/wiki/RealVideo
.rvt,Autodesk Revit 项目,rvt,https://en.wikipedia.org/wiki/Autodesk_Revit
.rwl,Leica RAW (Panasonic format),Leica RWL;Panasonic RW2-derived;14-bit,https://en.wikipedia.org/wiki/Raw_image_format
.s3m,Scream Tracker 3 模块,S3M,https://en.wikipedia.org/wiki/S3M
.s98,S98 PC-98 音频日志,S98,https://en.wikipedia.org/wiki/PC-98
.sam,Sequence Alignment Map (text),SAM 1.6;SAM/BAM,https://en.wikipedia.org/wiki/SAM_(file_format)
.sap,Atari SAP 音乐,SAP Atari XL,https://en.wikipedia.org/wiki/Atari_XL
.sar,Service ARchive (EJB),SAR,https://en.wikipedia.org/wiki/WAR_(file_format)
.sas7bdat,SAS v7+ 数据集,sas7bdat,https://en.wikipedia.org/wiki/SAS_(software)
.sass,Indented Sass,Sass .sass;indented;legacy;still supported,https://en.wikipedia.org/wiki/Sass_(stylesheet_language)
.sav,SPSS data file,SPSS .sav (binary) and .zsav (zlib);IBM,https://en.wikipedia.org/wiki/SPSS
.sav,程序保存,SAV,https://en.wikipedia.org/wiki/SAV_(file_format)
.sav,保存/备份文件(游戏/应用) / IBM SPSS Statistics 数据文件,"sav, zsav",https://en.wikipedia.org/wiki/Saved_game
.sc,Scala 3 source (Scala 3),Scala 3;.sc;top-level definitions,https://en.wikipedia.org/wiki/Scala_(programming_language)
.scala,Scala source code,Scala 2.x/3.x;JVM;Object/Func,https://en.wikipedia.org/wiki/Scala_(programming_language)
.sce,Scilab 脚本,sce,https://en.wikipedia.org/wiki/Scilab
.scf,Standard Chromatogram Format,SCF 3.0,https://en.wikipedia.org/wiki/Standard_chromatogram_format
.sci,Scilab 函数/数据,sci,https://en.wikipedia.org/wiki/Scilab
.scr,Windows 屏保,SCR,https://en.wikipedia.org/wiki/Screensaver
.screenrc,GNU Screen 配置,screenrc,https://www.gnu.org/software/screen/manual/screen.html
.scss,Sassy CSS (Sass indented),Sass .scss (SCSS);CSS superset;variables;mixins;Sass,https://en.wikipedia.org/wiki/Sass_(stylesheet_language)
.scx,FoxPro 表单,SCX,https://en.wikipedia.org/wiki/Visual_FoxPro
.sdf,Structure Data File,SDF 2004-2014;MDL/CTfile,https://en.wikipedia.org/wiki/Chemical_Table_File
.sdf,SQL Server Compact DB / VS IntelliSense DB,sdf,https://en.wikipedia.org/wiki/SQL_Server_Compact
.sec,GnuPG 私钥环文件 (secring.gpg),sec,https://en.wikipedia.org/wiki/GNU_Privacy_Guard
.secure,RHEL/CentOS 认证日志,secure,https://en.wikipedia.org/wiki/Syslog
.sed,Stream Editor script,POSIX sed;-e/-f,https://en.wikipedia.org/wiki/Sed
.service,systemd 单元文件,service,https://www.freedesktop.org/software/systemd/man/systemd.service.html
.settings.gradle,Gradle 设置脚本 Groovy,settings.gradle,https://docs.gradle.org/current/userguide/build_environment.html
.settings.gradle.kts,Gradle 设置脚本 Kotlin,settings.gradle.kts,https://docs.gradle.org/current/userguide/build_environment.html
.setup.py,Python setuptools 安装脚本,setup.py,https://setuptools.pypa.io/
.sflow,"Sampled Flow (sFlow), RFC 3176",sFlow v5,https://en.wikipedia.org/wiki/SFlow
.sgc,SGC SNES SPC 集合,SGC,https://en.wikipedia.org/wiki/SPC700
.sgi,Silicon Graphics Image,Silicon Graphics 1-3;SGI IRIX,https://en.wikipedia.org/wiki/Silicon_Graphics_Image
.sgi2,SGI 2.0 (rare),SGI 2.0,https://en.wikipedia.org/wiki/Silicon_Graphics_Image
.sgml,Standard Generalized Markup Language (ISO 8879),SGML DTD;HTML 4.01 SGML;legacy markup,https://en.wikipedia.org/wiki/Standard_Generalized_Markup_Language
.sh,Shell script (Bourne/bash),POSIX sh;bash;dash,https://en.wikipedia.org/wiki/Shell_script
.sh,Bourne shell 脚本,SH/BASH,https://en.wikipedia.org/wiki/Bourne_shell
.shp,ESRI Shapefile,ESRI Shapefile (.shp .shx .dbf);geospatial,https://en.wikipedia.org/wiki/Shapefile
.sht,SHTML 更短扩展名,SSI,https://en.wikipedia.org/wiki/Server_Side_Includes
.shtm,SHTML 短扩展名,SSI,https://en.wikipedia.org/wiki/Server_Side_Includes
.shtml,Server-parsed HTML (SSI),"SHTML, SSI",https://en.wikipedia.org/wiki/Server_Side_Includes
.shx,ESRI Shapefile index,ESRI .shx shape index,https://en.wikipedia.org/wiki/Shapefile
.sig,数字签名,SIG,https://en.wikipedia.org/wiki/Digital_signature
.sig,PGP 分离签名,sig,https://en.wikipedia.org/wiki/Pretty_Good_Privacy
.sit,StuffIt 归档,SIT,https://en.wikipedia.org/wiki/StuffIt
.sitx,StuffIt X 扩展归档,SITX,https://en.wikipedia.org/wiki/StuffIt
.skb,SketchUp 备份,skb,https://en.wikipedia.org/wiki/SketchUp
.sketchup,SketchUp legacy extension (v3-v5),SKP/SKM;SketchUp Make/Pro,https://en.wikipedia.org/wiki/SketchUp
.skm,SketchUp Model file (binary),SKM/SKP SketchUp binary;3D model;3D Warehouse,https://en.wikipedia.org/wiki/SketchUp
.skp,SketchUp binary model,SKP;SketchUp Pro/Make;zip;3D model,https://en.wikipedia.org/wiki/SketchUp
.sldasm,SolidWorks assembly,S-ldasm;SolidWorks;assembly;parametric,https://en.wikipedia.org/wiki/SolidWorks
.slddrw,SolidWorks 工程图,slddrw,https://en.wikipedia.org/wiki/SolidWorks
.sldprt,SolidWorks part (proprietary),S-ldprt;SolidWorks binary;parametric CAD,https://en.wikipedia.org/wiki/SolidWorks
.sln,Visual Studio 解决方案文件,sln,https://en.wikipedia.org/wiki/Visual_Studio
.smali,Android 反汇编 Smali,smali,https://github.com/JesusFreke/smali
.smc,Super Magic Cocos SMC,smc,https://en.wikipedia.org/wiki/Super_Magic_Compressor
.smi,SMILES string,SMILES,https://en.wikipedia.org/wiki/Simplified_molecular-input_line-entry_system
.smi,SAMI HTML 字幕,SMI,https://en.wikipedia.org/wiki/SAMI
.smi,Self-Mounting Image,SMI,https://en.wikipedia.org/wiki/Apple_Disk_Image
.smi,Nero 镜像文件,SMI v1,https://www.fileinfo.com/extension/smi
.smil,SMIL 同步多媒体,SMIL,https://en.wikipedia.org/wiki/Synchronized_Multimedia_Integration_Language
.smk,Smacker 视频,SMK,https://en.wikipedia.org/wiki/Smacker
.smt,Starmade 资源,SMT,https://en.wikipedia.org/wiki/StarMade
.snb,S-NoteBook (Sumsung),S-NoteBook;Samsung;legacy e-reader,https://en.wikipedia.org/wiki/S-NoteBook
.snd,NeXT/Sound Editor 音频资源文件,AudioFile/SndHeader,https://en.wikipedia.org/wiki/NeXTSTEP
.snf,Sun NewsReader Font,SNF,https://en.wikipedia.org/wiki/Sun_Microsystems
.snoop,Sun Snoop 抓包格式,snoop,https://datatracker.ietf.org/doc/html/rfc1761
.so,Shared Object 共享库,SO,https://en.wikipedia.org/wiki/Shared_library
.socket,systemd socket 单元,socket,https://www.freedesktop.org/software/systemd/man/systemd.socket.html
.solr,Apache Solr 索引目录,Solr core,https://en.wikipedia.org/wiki/Apache_Solr
.spc,S SNES 音频样本,SPC700 dump,https://en.wikipedia.org/wiki/SPC700
.spec,Ruby RSpec 测试/RPM spec 文件,"spec, RPM spec",https://rspec.info/
.spirv,SPIR-V 二进制,SPIRV,https://en.wikipedia.org/wiki/Standard_Portable_Intermediate_Representation
.spo,SPSS 输出,spo,https://en.wikipedia.org/wiki/SPSS
.sps,SPSS 语法脚本,sps,https://en.wikipedia.org/wiki/SPSS
.spv,SPIR-V 中间表示,SPV,https://en.wikipedia.org/wiki/Standard_Portable_Intermediate_Representation
.sql,Structured Query Language script,SQL DDL/DML/DCL;ANSI SQL,https://en.wikipedia.org/wiki/SQL
.sqlite,SQLite 关系数据库,sqlite 3.x,https://en.wikipedia.org/wiki/SQLite
.sqlite3,SQLite 3 数据库文件,sqlite3,https://en.wikipedia.org/wiki/SQLite
.sqlitedb,SQLite 数据库常见扩展名(macOS),sqlite3,https://en.wikipedia.org/wiki/SQLite
.sr2,Sony RAW v2 (older Alpha),SR2;Sony Alpha;12/14-bit;pre-ARW,https://en.wikipedia.org/wiki/Raw_image_format
.src.rpm,RPM 源码包,SRPM,https://en.wikipedia.org/wiki/RPM_Package_Manager
.srf,Sony RAW (early),SRF;Sony;older cameras;uncompressed,https://en.wikipedia.org/wiki/Raw_image_format
.srt,SubRip 字幕,SRT,https://en.wikipedia.org/wiki/SubRip
.srw,Samsung RAW (SRW),SRW 12/14-bit;Samsung NX;lossless compressed,https://en.wikipedia.org/wiki/Raw_image_format
.ssa,Sub Station Alpha,SSA,https://en.wikipedia.org/wiki/SubStation_Alpha
.sst,"Sorted String Table, RocksDB/LevelDB/Cassandra",SST v1/v2,https://en.wikipedia.org/wiki/RocksDB
.step,STEP ISO 10303 product data,STEP AP203/AP214/AP242;CAD/3D;ASCII EXPRESS schema,https://en.wikipedia.org/wiki/ISO_10303-21
.stl,Stereolithography 3D mesh file,STL ASCII (facet normal + triangle);STL Binary (uint32 count);CAD/3D printing,https://en.wikipedia.org/wiki/STL_(file_format)
.stl,Spruce STL/SMPTE,STL subtitle,https://en.wikipedia.org/wiki/EBU_STL
.stm,Scream Tracker 2 模块,STM,https://en.wikipedia.org/wiki/STM_(file_format)
.storyboard,iOS 故事板,storyboard,https://developer.apple.com/library/archive/documentation/ToolsLanguages/Conceptual/Xcode_Overview/
.strings,Apple 字符串表,strings,https://developer.apple.com/library/archive/documentation/Cocoa/Conceptual/LoadingResources/Strings/Strings.html
.stylus,Stylus CSS (Node.js),Stylus;Node.js;indented/verbose;@variable,https://en.wikipedia.org/wiki/Stylus_(stylesheet_language)
.sub,MicroDVD/VobSub 字幕,SUB,https://en.wikipedia.org/wiki/MicroDVD
.suo,Visual Studio 用户选项(旧),suo,https://en.wikipedia.org/wiki/Visual_Studio
.sup,Blu-ray PGS 字幕,SUP,https://en.wikipedia.org/wiki/Blu-ray
.svc,Windows 服务可执行,SVC,https://en.wikipedia.org/wiki/Windows_service
.svg,Scalable Vector Graphics XML-based 2D vector image,SVG 1.0/1.1/2 (W3C);SMIL animation;CSS/JS;inline styles;filter/effects,https://en.wikipedia.org/wiki/Scalable_Vector_Graphics
.svgz,SVGZ gzip-compressed SVG,SVG inside gzip (.svgz);MIME image/svg+xml with gzip Content-Encoding,https://en.wikipedia.org/wiki/Scalable_Vector_Graphics
.swap,Linux 交换分区,"swap, swapfile",https://en.wikipedia.org/wiki/Memory_paging
.swapfile.sys,Windows 8+ Metro 应用 swapfile,swapfile,https://en.wikipedia.org/wiki/Paging
.swf,Adobe Flash (Shockwave Flash) animation/vector,SWF v1-v10+;ActionScript 1/2/3;video/audio;stage3D,https://en.wikipedia.org/wiki/Flash_(software)
.swf,Small Web Format (Shockwave Flash),SWF unzipped/ZWS,https://en.wikipedia.org/wiki/SWF
.swift,Swift source code,Swift 1.0-5+;Xcode;LLVM;Apple,https://en.wikipedia.org/wiki/Swift_(programming_language)
.swm,"Split Windows Imaging 格式, 多卷 WIM",swm,https://en.wikipedia.org/wiki/Windows_Imaging_Format
.swo,Vim swap 备用扩展,SWO,https://en.wikipedia.org/wiki/Vim_(text_editor)
.swp,Vim swap 文件,SWP/SWO,https://en.wikipedia.org/wiki/Vim_(text_editor)
.sxc,OpenOffice Calc 1.0 (legacy),OpenOffice 1.x;Calc,https://en.wikipedia.org/wiki/OpenDocument
.sxd,OpenOffice Draw 1.0 (legacy),OpenOffice 1.x;Draw,https://en.wikipedia.org/wiki/OpenDocument
.sxi,OpenOffice Impress 1.0 (legacy),OpenOffice 1.x;Impress,https://en.wikipedia.org/wiki/OpenDocument
.sxm,OpenOffice Math 1.0 (legacy),OpenOffice 1.x;Math,https://en.wikipedia.org/wiki/OpenDocument
.sxw,OpenOffice 1.0/OpenDocument text (legacy),OpenOffice 1.x;legacy;compressed XML,https://en.wikipedia.org/wiki/OpenDocument
.sym,调试符号文件,sym,https://en.wikipedia.org/wiki/Debug_symbol
.synctex,SyncTeX synchronization,SyncTeX zlib;TeX source↔PDF,https://en.wikipedia.org/wiki/SyncTeX
.synctex.gz,SyncTeX gzip-compressed,SyncTeX zlib/gzip,https://en.wikipedia.org/wiki/SyncTeX
